rep	system	cell	ops
1	2s_epoll	64B_1:9	5439720
1	2s_epoll	256B_1:1	4834614
1	2s_epoll	1024B_1:1	2973167
1	2s_uring	64B_1:9	4372624
1	2s_uring	256B_1:1	3650412
1	2s_uring	1024B_1:1	2322689
1	3s_epoll	64B_1:9	3847914
1	3s_epoll	256B_1:1	3246382
1	3s_epoll	1024B_1:1	2175680
1	3s_uring	64B_1:9	4381754
1	3s_uring	256B_1:1	3216947
1	3s_uring	1024B_1:1	1958729
2	2s_epoll	64B_1:9	4499936
2	2s_epoll	256B_1:1	3740902
2	2s_epoll	1024B_1:1	2423478
2	2s_uring	64B_1:9	4467074
2	2s_uring	256B_1:1	3749059
2	2s_uring	1024B_1:1	2479855
2	3s_epoll	64B_1:9	4364376
2	3s_epoll	256B_1:1	3565814
2	3s_epoll	1024B_1:1	1934061
2	3s_uring	64B_1:9	3893320
2	3s_uring	256B_1:1	3384844
2	3s_uring	1024B_1:1	2017733
3	2s_epoll	64B_1:9	4640312
3	2s_epoll	256B_1:1	3786706
3	2s_epoll	1024B_1:1	2488764
3	2s_uring	64B_1:9	4482820
3	2s_uring	256B_1:1	3726903
3	2s_uring	1024B_1:1	2470741
3	3s_epoll	64B_1:9	3909542
3	3s_epoll	256B_1:1	3665665
3	3s_epoll	1024B_1:1	2202199
3	3s_uring	64B_1:9	4327708
3	3s_uring	256B_1:1	3364041
3	3s_uring	1024B_1:1	2080563
