pass	system	payload	pipe	ratio	ops	p50ms	p99ms	crash
1	ts_i2w2	64	16	1:9	4648097	0.66300	2.19100	0
1	ts_i2w2	64	1	1:9	583537	0.27900	1.47100	0
1	ts_i2w2	1024	16	1:9	1661043	1.85500	3.45500	0
1	ts_i2w2	16384	16	1:9	291939	10.68700	14.07900	0
1	ts_i2w4	64	16	1:9	3264080	0.86300	2.20700	0
1	ts_i2w4	64	1	1:9	630976	0.31100	0.55100	0
1	ts_i2w4	1024	16	1:9	1751570	1.71100	3.59900	0
1	ts_i2w4	16384	16	1:9	305616	10.36700	13.18300	0
1	ts_i4w2	64	16	1:9	5441821	0.45500	3.77500	0
1	ts_i4w2	64	1	1:9	597943	0.23900	3.37500	0
1	ts_i4w2	1024	16	1:9	1626039	1.73500	6.27100	0
1	ts_i4w2	16384	16	1:9	270750	11.45500	15.48700	0
1	ts_i4w4	64	16	1:9	3672365	0.57500	6.20700	0
1	ts_i4w4	64	1	1:9	545837	0.22300	3.05500	0
1	ts_i4w4	1024	16	1:9	1705323	1.52700	5.59900	0
1	ts_i4w4	16384	16	1:9	300761	10.43100	13.31100	0
1	ts_i4w6	64	16	1:9	2022158	1.50300	5.21500	0
1	ts_i4w6	64	1	1:9	379915	0.18300	5.18300	0
1	ts_i4w6	1024	16	1:9	1266188	2.27100	7.39100	0
1	ts_i4w6	16384	16	1:9	288395	10.68700	14.27100	0
1	ts_i6w2	64	16	1:9	5243736	0.35100	4.19100	0
1	ts_i6w2	64	1	1:9	563057	0.21500	3.77500	0
1	ts_i6w2	1024	16	1:9	1675471	1.48700	6.07900	0
1	ts_i6w2	16384	16	1:9	309079	10.23900	14.14300	0
1	ts_i8w8	64	16	1:9	1268467	2.03900	6.36700	0
1	ts_i8w8	64	1	1:9	229223	1.19100	2.23900	0
1	ts_i8w8	1024	16	1:9	904224	3.34300	7.83900	0
1	ts_i8w8	16384	16	1:9	205104	14.59100	22.01500	0
2	ts_i2w4	64	16	1:9	3388277	0.85500	2.07900	0
