rep	system	db	payload	ops
1	2s_io4ex4	cache	64	4831440
1	2s_io4ex4	med	64	5446196
1	2s_io4ex4	big	64	5210673
1	2s_io4ex4	cache	128	4653309
1	2s_io4ex4	med	128	3816479
1	2s_io4ex4	big	128	3843174
1	3s_i4e3w1	cache	64	4299269
1	3s_i4e3w1	med	64	3647534
1	3s_i4e3w1	big	64	3858308
1	3s_i4e3w1	cache	128	4460491
1	3s_i4e3w1	med	128	3358326
1	3s_i4e3w1	big	128	3319882
1	3s_i3e3w2	cache	64	5389477
1	3s_i3e3w2	med	64	4390635
1	3s_i3e3w2	big	64	3837976
1	3s_i3e3w2	cache	128	3965291
1	3s_i3e3w2	med	128	4127420
1	3s_i3e3w2	big	128	4222712
1	3s_i4e2w2	cache	64	5119028
1	3s_i4e2w2	med	64	4513195
1	3s_i4e2w2	big	64	4027955
1	3s_i4e2w2	cache	128	3937860
1	3s_i4e2w2	med	128	3859406
1	3s_i4e2w2	big	128	3602221
1	2s_io5ex5	cache	64	5421421
1	2s_io5ex5	med	64	4715114
1	2s_io5ex5	big	64	4439316
1	2s_io5ex5	cache	128	4401567
1	2s_io5ex5	med	128	4354064
1	2s_io5ex5	big	128	4357435
1	3s_i4e3w3	cache	64	4990741
1	3s_i4e3w3	med	64	4221974
1	3s_i4e3w3	big	64	3903825
1	3s_i4e3w3	cache	128	3947332
1	3s_i4e3w3	med	128	3590388
1	3s_i4e3w3	big	128	3608963
1	3s_i3e3w4	cache	64	5085927
1	3s_i3e3w4	med	64	4334023
1	3s_i3e3w4	big	64	4168725
1	3s_i3e3w4	cache	128	3967500
1	3s_i3e3w4	med	128	4281159
1	3s_i3e3w4	big	128	4136818
2	2s_io4ex4	cache	64	4752575
2	2s_io4ex4	med	64	4150583
2	2s_io4ex4	big	64	4063515
2	2s_io4ex4	cache	128	3919877
2	2s_io4ex4	med	128	3878690
2	2s_io4ex4	big	128	3855564
2	3s_i4e3w1	cache	64	4033769
2	3s_i4e3w1	med	64	3523977
2	3s_i4e3w1	big	64	3495843
2	3s_i4e3w1	cache	128	3492190
2	3s_i4e3w1	med	128	3191209
2	3s_i4e3w1	big	128	3252857
2	3s_i3e3w2	cache	64	4819788
2	3s_i3e3w2	med	64	4210611
2	3s_i3e3w2	big	64	3898557
2	3s_i3e3w2	cache	128	3783367
2	3s_i3e3w2	med	128	4334663
2	3s_i3e3w2	big	128	4047015
2	3s_i4e2w2	cache	64	4672487
2	3s_i4e2w2	med	64	4205458
2	3s_i4e2w2	big	64	4069339
2	3s_i4e2w2	cache	128	4045105
2	3s_i4e2w2	med	128	4006891
2	3s_i4e2w2	big	128	3774633
2	2s_io5ex5	cache	64	4831680
2	2s_io5ex5	med	64	4429614
2	2s_io5ex5	big	64	4361666
2	2s_io5ex5	cache	128	3876930
2	2s_io5ex5	med	128	4294802
2	2s_io5ex5	big	128	4249789
2	3s_i4e3w3	cache	64	4316150
2	3s_i4e3w3	med	64	4048514
2	3s_i4e3w3	big	64	3837883
2	3s_i4e3w3	cache	128	3786366
2	3s_i4e3w3	med	128	3694086
2	3s_i4e3w3	big	128	3758081
2	3s_i3e3w4	cache	64	5434131
2	3s_i3e3w4	med	64	4381384
2	3s_i3e3w4	big	64	4638970
2	3s_i3e3w4	cache	128	4117115
2	3s_i3e3w4	med	128	4174896
2	3s_i3e3w4	big	128	4220392
3	2s_io4ex4	cache	64	5126386
3	2s_io4ex4	med	64	4661127
3	2s_io4ex4	big	64	4064457
3	2s_io4ex4	cache	128	3937085
3	2s_io4ex4	med	128	3890254
3	2s_io4ex4	big	128	3867088
3	3s_i4e3w1	cache	64	3874837
3	3s_i4e3w1	med	64	3660266
3	3s_i4e3w1	big	64	3656712
3	3s_i4e3w1	cache	128	3375282
3	3s_i4e3w1	med	128	3387928
3	3s_i4e3w1	big	128	3373052
3	3s_i3e3w2	cache	64	4877005
3	3s_i3e3w2	med	64	4238646
3	3s_i3e3w2	big	64	4312952
3	3s_i3e3w2	cache	128	4230894
3	3s_i3e3w2	med	128	4283364
3	3s_i3e3w2	big	128	4005047
3	3s_i4e2w2	cache	64	4645978
3	3s_i4e2w2	med	64	4140282
3	3s_i4e2w2	big	64	3925856
3	3s_i4e2w2	cache	128	4184199
3	3s_i4e2w2	med	128	3948708
3	3s_i4e2w2	big	128	3721888
3	2s_io5ex5	cache	64	4880312
3	2s_io5ex5	med	64	4427425
3	2s_io5ex5	big	64	4452001
3	2s_io5ex5	cache	128	4423957
3	2s_io5ex5	med	128	4333634
3	2s_io5ex5	big	128	4266818
3	3s_i4e3w3	cache	64	4580855
3	3s_i4e3w3	med	64	4142035
3	3s_i4e3w3	big	64	4016010
3	3s_i4e3w3	cache	128	3943983
3	3s_i4e3w3	med	128	3591550
3	3s_i4e3w3	big	128	3743879
3	3s_i3e3w4	cache	64	4857347
3	3s_i3e3w4	med	64	4390012
3	3s_i3e3w4	big	64	3865155
3	3s_i3e3w4	cache	128	4098220
3	3s_i3e3w4	med	128	4197122
3	3s_i3e3w4	big	128	4335430
