fork	config	cell	ops	note
2s	base	512B_1:1	1366642.69	
2s	base	512B_1:9	1390755.78	
2s	base	4KB_1:1	1006750.08	
2s	base	4KB_1:9	933793.16	
2s	pf_off	512B_1:1	1403925.47	
2s	pf_off	512B_1:9	1435257.45	
2s	pf_off	4KB_1:1	1037264.71	
2s	pf_off	4KB_1:9	919998.36	
2s	pf_always	512B_1:1	1357340.36	
2s	pf_always	512B_1:9	1560452.85	
2s	pf_always	4KB_1:1	1023163.94	
2s	pf_always	4KB_1:9	920266.66	
2s	hashcarry_off	512B_1:1	1347885.13	
2s	hashcarry_off	512B_1:9	1404644.67	
2s	hashcarry_off	4KB_1:1	979875.11	
2s	hashcarry_off	4KB_1:9	940581.28	
2s	coalesce_off	512B_1:1	1372215.99	
2s	coalesce_off	512B_1:9	1474393.77	
2s	coalesce_off	4KB_1:1	1143941.87	
2s	coalesce_off	4KB_1:9	928448.49	
2s	batchpush_off	512B_1:1	2339327.04	
2s	batchpush_off	512B_1:9	2420352.18	
2s	batchpush_off	4KB_1:1	1258971.39	
2s	batchpush_off	4KB_1:9	1205399.11	
2s	pstats_off	512B_1:1	1361466.55	
2s	pstats_off	512B_1:9	1374796.51	
2s	pstats_off	4KB_1:1	1017257.91	
2s	pstats_off	4KB_1:9	886341.23	
2s	mcdb_on	512B_1:1	1359719.68	
2s	mcdb_on	512B_1:9	1432826.83	
2s	mcdb_on	4KB_1:1	1013952.72	
2s	mcdb_on	4KB_1:9	900629.82	
2s	vf_on	512B_1:1	1361938.19	
2s	vf_on	512B_1:9	1399776.59	
2s	vf_on	4KB_1:1	1024664.21	
2s	vf_on	4KB_1:9	924688.39	
2s	batchedclear_on	512B_1:1	1307378.61	
2s	batchedclear_on	512B_1:9	1391746.16	
2s	batchedclear_on	4KB_1:1	1052761.80	
2s	batchedclear_on	4KB_1:9	904121.38	
3s	base	512B_1:1	2358720.61	
3s	base	512B_1:9	2307020.52	
3s	base	4KB_1:1	1336512.56	
3s	base	4KB_1:9	1214243.39	
3s	pf_off	512B_1:1	2364028.74	
3s	pf_off	512B_1:9	2317370.92	
3s	pf_off	4KB_1:1	1362018.19	
3s	pf_off	4KB_1:9	1223440.01	
3s	pf_always	512B_1:1	2378001.23	
3s	pf_always	512B_1:9	2324151.62	
3s	pf_always	4KB_1:1	1351149.59	
3s	pf_always	4KB_1:9	1236405.55	
3s	hashcarry_off	512B_1:1	2339458.62	
3s	hashcarry_off	512B_1:9	2287646.98	
3s	hashcarry_off	4KB_1:1	1338316.89	
3s	hashcarry_off	4KB_1:9	1193424.16	
3s	coalesce_off	512B_1:1	2365547.98	
3s	coalesce_off	512B_1:9	2345357.76	
3s	coalesce_off	4KB_1:1	1364751.64	
3s	coalesce_off	4KB_1:9	1203925.60	
3s	batchpush_off	512B_1:1	2296667.65	
3s	batchpush_off	512B_1:9	2312613.35	
3s	batchpush_off	4KB_1:1	1405472.44	
3s	batchpush_off	4KB_1:9	1208694.29	
3s	pstats_off	512B_1:1	2384840.37	
3s	pstats_off	512B_1:9	2319463.50	
3s	pstats_off	4KB_1:1	1339851.91	
3s	pstats_off	4KB_1:9	1200109.99	
3s	mcdb_on	512B_1:1	2341732.92	
3s	mcdb_on	512B_1:9	2384367.50	
3s	mcdb_on	4KB_1:1	1368264.56	
3s	mcdb_on	4KB_1:9	1264368.97	
3s	vf_on	512B_1:1	2365481.65	
3s	vf_on	512B_1:9	2347457.24	
3s	vf_on	4KB_1:1	1411721.52	
3s	vf_on	4KB_1:9	1250721.72	
3s	batchedclear_on	512B_1:1	2401302.97	
3s	batchedclear_on	512B_1:9	2312679.60	
3s	batchedclear_on	4KB_1:1	1389999.92	
3s	batchedclear_on	4KB_1:9	1189296.44	
2s	base_recheck	512B_1:1	1351953.51	
2s	base_recheck	512B_1:9	1388827.58	
2s	base_recheck	4KB_1:1	1009004.37	
2s	base_recheck	4KB_1:9	913927.90	
3s	base_recheck	512B_1:1	2358881.06	
3s	base_recheck	512B_1:9	2310076.93	
3s	base_recheck	4KB_1:1	1365156.87	
3s	base_recheck	4KB_1:9	1218060.58	
