fork	config	cell	ops	note
2s	A0_alloff_hard	512B_1:1	1353876.28	
2s	A0_alloff_hard	512B_1:9	1373005.41	
2s	A0_alloff_hard	4KB_1:9	912464.22	
2s	A1_offbase	512B_1:1	1379319.87	
2s	A1_offbase	512B_1:9	1423396.84	
2s	A1_offbase	4KB_1:9	908528.32	
2s	A2_all_on	512B_1:1	1346173.26	
2s	A2_all_on	512B_1:9	1416952.71	
2s	A2_all_on	4KB_1:9	929157.24	
2s	W1a_fc	512B_1:1	1340971.04	
2s	W1a_fc	512B_1:9	1380210.12	
2s	W1a_fc	4KB_1:9	915914.11	
2s	W1b_argv	512B_1:1	1363997.99	
2s	W1b_argv	512B_1:9	1439780.19	
2s	W1b_argv	4KB_1:9	930040.41	
2s	W1c_cmd	512B_1:1	1325897.37	
2s	W1c_cmd	512B_1:9	1409282.58	
2s	W1c_cmd	4KB_1:9	944459.63	
2s	W1d_keyobj	512B_1:1	1327552.99	
2s	W1d_keyobj	512B_1:9	1438208.78	
2s	W1d_keyobj	4KB_1:9	927714.26	
2s	W1e_machinery	512B_1:1	1328726.44	
2s	W1e_machinery	512B_1:9	1424091.65	
2s	W1e_machinery	4KB_1:9	922204.59	
2s	W2_keybucket	512B_1:1	1312401.71	
2s	W2_keybucket	512B_1:9	1394298.32	
2s	W2_keybucket	4KB_1:9	924621.80	
2s	W3_entrychase	512B_1:1	1358244.93	
2s	W3_entrychase	512B_1:9	1444643.53	
2s	W3_entrychase	4KB_1:9	918157.19	
2s	W4_valuechase	512B_1:1	1357161.44	
2s	W4_valuechase	512B_1:9	1416838.42	
2s	W4_valuechase	4KB_1:9	936431.66	
2s	W5_nextop	512B_1:1	1330745.69	
2s	W5_nextop	512B_1:9	1422393.71	
2s	W5_nextop	4KB_1:9	922292.38	
2s	I0_iomachinery	512B_1:1	1377880.78	
2s	I0_iomachinery	512B_1:9	1407172.89	
2s	I0_iomachinery	4KB_1:9	933312.91	
2s	I1_iostruct	512B_1:1	1367766.42	
2s	I1_iostruct	512B_1:9	1427947.40	
2s	I1_iostruct	4KB_1:9	897745.18	
2s	I2_ioreply	512B_1:1	1345422.39	
2s	I2_ioreply	512B_1:9	1402452.37	
2s	I2_ioreply	4KB_1:9	934116.30	
2s	I3_ioboth	512B_1:1	1370701.46	
2s	I3_ioboth	512B_1:9	1409574.39	
2s	I3_ioboth	4KB_1:9	922488.09	
3s	A0_alloff_hard	512B_1:1	2309208.71	
3s	A0_alloff_hard	512B_1:9	2299615.35	
3s	A0_alloff_hard	4KB_1:9	1205816.37	
3s	A1_offbase	512B_1:1	2382279.57	
3s	A1_offbase	512B_1:9	2295321.27	
3s	A1_offbase	4KB_1:9	1212115.53	
3s	A2_all_on	512B_1:1	2372706.44	
3s	A2_all_on	512B_1:9	2362285.49	
3s	A2_all_on	4KB_1:9	1214364.73	
3s	W1a_fc	512B_1:1	2415922.46	
3s	W1a_fc	512B_1:9	2325665.76	
3s	W1a_fc	4KB_1:9	1237897.86	
3s	W1b_argv	512B_1:1	2365720.93	
3s	W1b_argv	512B_1:9	2338867.87	
3s	W1b_argv	4KB_1:9	1190383.73	
3s	W1c_cmd	512B_1:1	2344985.96	
3s	W1c_cmd	512B_1:9	2317173.21	
3s	W1c_cmd	4KB_1:9	1239820.43	
3s	W1d_keyobj	512B_1:1	2379645.07	
3s	W1d_keyobj	512B_1:9	2339338.38	
3s	W1d_keyobj	4KB_1:9	1246554.15	
3s	W1e_machinery	512B_1:1	2219778.58	
3s	W1e_machinery	512B_1:9	2307496.97	
3s	W1e_machinery	4KB_1:9	1133348.87	
3s	W2_keybucket	512B_1:1	2385736.89	
3s	W2_keybucket	512B_1:9	2322007.58	
3s	W2_keybucket	4KB_1:9	1217895.63	
3s	W3_entrychase	512B_1:1	2394805.33	
3s	W3_entrychase	512B_1:9	2405667.98	
3s	W3_entrychase	4KB_1:9	1266043.30	
3s	W4_valuechase	512B_1:1	2354225.18	
3s	W4_valuechase	512B_1:9	2278510.94	
3s	W4_valuechase	4KB_1:9	1225043.38	
3s	W5_nextop	512B_1:1	2367363.44	
3s	W5_nextop	512B_1:9	2394626.18	
3s	W5_nextop	4KB_1:9	1211360.39	
3s	I0_iomachinery	512B_1:1	2374376.05	
3s	I0_iomachinery	512B_1:9	2363291.26	
3s	I0_iomachinery	4KB_1:9	1220762.27	
3s	I1_iostruct	512B_1:1	2359872.12	
3s	I1_iostruct	512B_1:9	2323418.91	
3s	I1_iostruct	4KB_1:9	1242918.30	
3s	I2_ioreply	512B_1:1	2368210.99	
3s	I2_ioreply	512B_1:9	2328461.20	
3s	I2_ioreply	4KB_1:9	1195482.01	
3s	I3_ioboth	512B_1:1	2314741.95	
3s	I3_ioboth	512B_1:9	2350975.69	
3s	I3_ioboth	4KB_1:9	1249265.88	
