round	fork	config	cell	ops	note
1	2s	2s_thr_io4w4	GET_d32_P32	6771669.95	
1	2s	2s_thr_io4w4	GET_d256_P32	2651896.94	
1	2s	2s_thr_io4w4	SET_d256_P32	4533581.75	
1	2s	2s_thr_io4w4	GET_d1024_P32	2081184.51	
1	2s	2s_thr_io4w4	MIX_d64_P16	4843315.55	
1	2s	2s_thr_io4w4	HOT_G256	1579780.45	
1	2s	2s_thr_io4w4	FB_ETC	1546918.36	
1	2s	2s_thr_io6w4	GET_d32_P32	8002894.60	
1	2s	2s_thr_io6w4	GET_d256_P32	2780978.66	
1	2s	2s_thr_io6w4	SET_d256_P32	5498677.02	
1	2s	2s_thr_io6w4	GET_d1024_P32	2356403.44	
1	2s	2s_thr_io6w4	MIX_d64_P16	5765270.91	
1	2s	2s_thr_io6w4	HOT_G256	1664488.84	
1	2s	2s_thr_io6w4	FB_ETC	2024544.14	
1	2s	2s_thr_io8w4	GET_d32_P32	7713345.67	
1	2s	2s_thr_io8w4	GET_d256_P32	2974397.93	
1	2s	2s_thr_io8w4	SET_d256_P32	5378138.22	
1	2s	2s_thr_io8w4	GET_d1024_P32	2562623.43	
1	2s	2s_thr_io8w4	MIX_d64_P16	5649741.70	
1	2s	2s_thr_io8w4	HOT_G256	1761582.56	
1	2s	2s_thr_io8w4	FB_ETC	1722223.83	
1	2s	2s_thr_io4w2	GET_d32_P32	5432042.75	
1	2s	2s_thr_io4w2	GET_d256_P32	2491036.78	
1	2s	2s_thr_io4w2	SET_d256_P32	3206504.22	
1	2s	2s_thr_io4w2	GET_d1024_P32	2131225.58	
1	2s	2s_thr_io4w2	MIX_d64_P16	4139715.31	
1	2s	2s_thr_io4w2	HOT_G256	1477054.70	
1	2s	2s_thr_io4w2	FB_ETC	1483461.84	
1	2s	2s_thr_io2w8	GET_d32_P32	3704670.22	
1	2s	2s_thr_io2w8	GET_d256_P32	1963606.79	
1	2s	2s_thr_io2w8	SET_d256_P32	2876319.16	
1	2s	2s_thr_io2w8	GET_d1024_P32	1459029.38	
1	2s	2s_thr_io2w8	MIX_d64_P16	2617510.80	
1	2s	2s_thr_io2w8	HOT_G256	1030120.53	
1	2s	2s_thr_io2w8	FB_ETC	981020.74	
1	2s	2s_knob_dirty	GET_d32_P32	7972547.65	
1	2s	2s_knob_dirty	GET_d256_P32	2942606.27	
1	2s	2s_knob_dirty	SET_d256_P32	5411400.55	
1	2s	2s_knob_dirty	GET_d1024_P32	2391622.11	
1	2s	2s_knob_dirty	MIX_d64_P16	5722201.58	
1	2s	2s_knob_dirty	HOT_G256	1708849.71	
1	2s	2s_knob_dirty	FB_ETC	1585452.74	
1	2s	2s_knob_mcdb	GET_d32_P32	7775805.93	
1	2s	2s_knob_mcdb	GET_d256_P32	2790390.90	
1	2s	2s_knob_mcdb	SET_d256_P32	5526534.48	
1	2s	2s_knob_mcdb	GET_d1024_P32	2411978.42	
1	2s	2s_knob_mcdb	MIX_d64_P16	5819931.50	
1	2s	2s_knob_mcdb	HOT_G256	1691626.59	
1	2s	2s_knob_mcdb	FB_ETC	1629112.65	
1	2s	2s_knob_nextop	GET_d32_P32	7966127.26	
1	2s	2s_knob_nextop	GET_d256_P32	2869519.03	
1	2s	2s_knob_nextop	SET_d256_P32	5248567.43	
1	2s	2s_knob_nextop	GET_d1024_P32	2383360.78	
1	2s	2s_knob_nextop	MIX_d64_P16	5780466.81	
1	2s	2s_knob_nextop	HOT_G256	1641165.61	
1	2s	2s_knob_nextop	FB_ETC	1591094.83	
1	2s	2s_knob_uring	GET_d32_P32	7506575.57	
1	2s	2s_knob_uring	GET_d256_P32	2782550.31	
1	2s	2s_knob_uring	SET_d256_P32	5140826.95	
1	2s	2s_knob_uring	GET_d1024_P32	2308784.50	
1	2s	2s_knob_uring	MIX_d64_P16	5425395.14	
1	2s	2s_knob_uring	HOT_G256	1596700.21	
1	2s	2s_knob_uring	FB_ETC	1572929.21	
1	2s	2s_knob_allopt	GET_d32_P32	8157862.62	
1	2s	2s_knob_allopt	GET_d256_P32	2887980.96	
1	2s	2s_knob_allopt	SET_d256_P32	5266488.85	
1	2s	2s_knob_allopt	GET_d1024_P32	2419566.63	
1	2s	2s_knob_allopt	MIX_d64_P16	5775174.13	
1	2s	2s_knob_allopt	HOT_G256	1620758.32	
1	2s	2s_knob_allopt	FB_ETC	1614293.12	
1	2s	2s_allopt_full	GET_d32_P32	7564859.58	
1	2s	2s_allopt_full	GET_d256_P32	2742572.38	
1	2s	2s_allopt_full	SET_d256_P32	5371607.74	
1	2s	2s_allopt_full	GET_d1024_P32	2272679.29	
