pass	system	payload	pipe	ratio	ops	p50ms	p99ms	crash
1	v11-epoll	64	16	1:9	5553276	0.55100	1.57500	0
1	v11-epoll	64	16	1:1	4961315	0.62300	1.35100	0
1	v11-epoll	64	1	1:9	665245	0.27900	0.47100	0
1	v11-epoll	64	16	1:0	3850044	0.82300	1.22300	0
1	v11-epoll	1024	16	1:9	1977005	1.74300	2.23900	0
1	v11-epoll	16384	16	1:9	315877	10.04700	12.86300	0
1	v11-epoll	64	16	1:9	5201588	0.59900	1.34300	0
1	v11-epoll	64	16	1:9	4272554	0.75100	1.09500	0
1	v12-J	64	16	1:9	4372480	0.71100	1.48700	0
1	v12-J	64	16	1:1	4367869	0.71900	1.31900	0
1	v12-J	64	1	1:9	788113	0.23900	0.38300	0
1	v12-J	64	16	1:0	3944131	0.79100	1.49500	0
1	v12-J	1024	16	1:9	1922145	1.75900	2.35100	0
1	v12-J	16384	16	1:9	323901	9.66300	12.47900	0
1	v12-J	64	16	1:9	5105045	0.60700	1.19100	0
1	v12-J	64	16	1:9	4219024	0.73500	1.38300	0
1	threestage	64	16	1:9	3174743	0.69500	6.27100	0
1	threestage	64	16	1:1	3159647	0.65500	5.02300	0
1	threestage	64	1	1:9	549441	0.25500	2.76700	0
1	threestage	64	16	1:0	2816361	0.77500	4.99100	0
1	threestage	1024	16	1:9	1695739	1.86300	4.76700	0
1	threestage	16384	16	1:9	330339	9.53500	12.09500	0
1	threestage	64	16	1:9	3511475	0.60700	6.33500	0
1	threestage	64	16	1:9	3060700	0.62300	6.23900	0
1	redis	64	16	1:9	4374043	0.69500	1.43100	0
1	redis	64	16	1:1	4023925	0.79900	1.05500	0
1	redis	64	1	1:9	581469	0.31900	0.63100	0
1	redis	64	16	1:0	3870366	0.83100	1.16700	0
1	redis	1024	16	1:9	2039506	1.63100	2.25500	0
1	redis	16384	16	1:9	340660	9.27900	11.96700	0
1	redis	64	16	1:9	4054890	0.75900	1.54300	0
1	redis	64	16	1:9	3915000	0.79900	1.43100	0
1	dragonfly	64	16	1:9	4462754	0.60700	1.58300	0
1	dragonfly	64	16	1:1	4417232	0.59900	1.61500	0
1	dragonfly	64	1	1:9	543811	0.32700	0.67100	0
1	dragonfly	64	16	1:0	4201015	0.65500	1.56700	0
1	dragonfly	1024	16	1:9	1690527	1.62300	3.27900	0
1	dragonfly	16384	16	1:9	280364	11.51900	13.95100	0
1	dragonfly	64	16	1:9	3943132	0.71100	1.71900	0
1	dragonfly	64	16	1:9	4094184	0.65500	1.67900	0
2	v12-J	64	16	1:9	4903368	0.62300	1.31100	0
2	v12-J	64	16	1:1	4183748	0.74300	1.39100	0
2	v12-J	64	1	1:9	648504	0.28700	0.46300	0
2	v12-J	64	16	1:0	4432090	0.68700	1.52700	0
2	v12-J	1024	16	1:9	2160704	1.56700	1.83900	0
2	v12-J	16384	16	1:9	289006	10.87900	13.82300	0
2	v12-J	64	16	1:9	4326844	0.71100	1.45500	0
2	v12-J	64	16	1:9	4981596	0.63100	1.15900	0
2	threestage	64	16	1:9	3609020	0.60700	6.17500	0
2	threestage	64	16	1:1	2907600	0.69500	6.04700	0
2	threestage	64	1	1:9	496757	0.24700	3.16700	0
2	threestage	64	16	1:0	2959921	0.60700	5.66300	0
2	threestage	1024	16	1:9	1896790	1.50300	4.76700	0
2	threestage	16384	16	1:9	294519	10.68700	13.50300	0
2	threestage	64	16	1:9	3174600	0.60700	6.33500	0
2	threestage	64	16	1:9	3526964	0.65500	5.34300	0
2	redis	64	16	1:9	4227431	0.71900	1.47900	0
2	redis	64	16	1:1	3566433	0.89500	1.18300	0
2	redis	64	1	1:9	609983	0.30300	0.54300	0
2	redis	64	16	1:0	4392244	0.68700	1.70300	0
2	redis	1024	16	1:9	1907970	1.79900	2.43100	0
2	redis	16384	16	1:9	306130	10.43100	12.22300	0
2	redis	64	16	1:9	4536083	0.66300	1.40700	0
2	redis	64	16	1:9	3991249	0.78300	1.44700	0
2	dragonfly	64	16	1:9	3935893	0.70300	1.79900	0
2	dragonfly	64	16	1:1	4212700	0.63100	1.63900	0
2	dragonfly	64	1	1:9	667561	0.27100	0.54300	0
2	dragonfly	64	16	1:0	4317875	0.62300	1.51900	0
2	dragonfly	1024	16	1:9	1433982	1.93500	3.83900	0
2	dragonfly	16384	16	1:9	293659	10.94300	13.05500	0
2	dragonfly	64	16	1:9	4740973	0.57500	1.60700	0
2	dragonfly	64	16	1:9	3808559	0.71900	1.76700	0
2	v11-epoll	64	16	1:9	4415788	0.72700	1.08700	0
2	v11-epoll	64	16	1:1	4233744	0.73500	1.15100	0
2	v11-epoll	64	1	1:9	741049	0.23900	0.52700	0
2	v11-epoll	64	16	1:0	4266710	0.72700	1.20700	0
2	v11-epoll	1024	16	1:9	1987106	1.75100	1.84700	0
2	v11-epoll	16384	16	1:9	309426	10.43100	13.05500	0
2	v11-epoll	64	16	1:9	5201793	0.59100	1.52700	0
2	v11-epoll	64	16	1:9	4426926	0.72700	1.07100	0
3	threestage	64	16	1:9	3120577	0.71900	5.69500	0
3	threestage	64	16	1:1	2950037	0.68700	6.30300	0
3	threestage	64	1	1:9	567442	0.19100	3.19900	0
3	threestage	64	16	1:0	2953162	0.64700	5.59900	0
3	threestage	1024	16	1:9	1703872	1.78300	5.27900	0
3	threestage	16384	16	1:9	311190	10.11100	13.05500	0
3	threestage	64	16	1:9	3666204	0.52700	6.33500	0
3	threestage	64	16	1:9	3121937	0.56700	6.23900	0
3	redis	64	16	1:9	4213512	0.71900	1.53500	0
3	redis	64	16	1:1	3987642	0.80700	1.06300	0
3	redis	64	1	1:9	609066	0.31100	0.53500	0
3	redis	64	16	1:0	3821955	0.80700	1.94300	0
3	redis	1024	16	1:9	2116803	1.55100	2.28700	0
3	redis	16384	16	1:9	336115	9.40700	12.09500	0
3	redis	64	16	1:9	4267650	0.71100	1.47100	0
3	redis	64	16	1:9	3902864	0.79900	1.52700	0
3	dragonfly	64	16	1:9	4136888	0.66300	1.71900	0
3	dragonfly	64	16	1:1	4080237	0.65500	1.71100	0
