fork	config	cell	ops	note
2s	A1_offbase_r1	MB1_16KB	519297.57	
2s	A1_offbase_r1	MB2_256B_12M	2623162.32	
2s	A2_allon_r1	MB1_16KB	522595.09	
2s	A2_allon_r1	MB2_256B_12M	2648337.82	
2s	cmd_off_r1	MB1_16KB	527610.24	
2s	cmd_off_r1	MB2_256B_12M	2655792.09	
2s	keyobj_off_r1	MB1_16KB	529278.59	
2s	keyobj_off_r1	MB2_256B_12M	2640961.07	
2s	fcargvcmd_off_r1	MB1_16KB	531167.61	
2s	fcargvcmd_off_r1	MB2_256B_12M	2636083.16	
2s	keychase_only_r1	MB1_16KB	521861.97	
2s	keychase_only_r1	MB2_256B_12M	2618946.58	
2s	value_only_r1	MB1_16KB	522858.72	
2s	value_only_r1	MB2_256B_12M	2644869.41	
3s	A1_offbase_r1	MB1_16KB	500902.63	
3s	A1_offbase_r1	MB2_256B_12M	2451183.37	
3s	A2_allon_r1	MB1_16KB	493011.04	
3s	A2_allon_r1	MB2_256B_12M	2428842.25	
3s	cmd_off_r1	MB1_16KB	503248.16	
3s	cmd_off_r1	MB2_256B_12M	2458396.75	
3s	keyobj_off_r1	MB1_16KB	514659.25	
3s	keyobj_off_r1	MB2_256B_12M	2428686.47	
3s	fcargvcmd_off_r1	MB1_16KB	506059.11	
3s	fcargvcmd_off_r1	MB2_256B_12M	2492979.41	
3s	keychase_only_r1	MB1_16KB	510868.22	
3s	keychase_only_r1	MB2_256B_12M	2459230.67	
3s	value_only_r1	MB1_16KB	509427.84	
3s	value_only_r1	MB2_256B_12M	2475107.07	
2s	A1_offbase_r2	MB1_16KB	529284.44	
2s	A1_offbase_r2	MB2_256B_12M	2659518.04	
2s	A2_allon_r2	MB1_16KB	528154.15	
2s	A2_allon_r2	MB2_256B_12M	2665616.98	
2s	cmd_off_r2	MB1_16KB	531046.77	
2s	cmd_off_r2	MB2_256B_12M	2665574.93	
2s	keyobj_off_r2	MB1_16KB	532262.59	
2s	keyobj_off_r2	MB2_256B_12M	2658070.67	
2s	fcargvcmd_off_r2	MB1_16KB	528191.43	
2s	fcargvcmd_off_r2	MB2_256B_12M	2660562.33	
2s	keychase_only_r2	MB1_16KB	532243.22	
2s	keychase_only_r2	MB2_256B_12M	2657659.56	
2s	value_only_r2	MB1_16KB	529358.47	
2s	value_only_r2	MB2_256B_12M	2663099.04	
3s	A1_offbase_r2	MB1_16KB	496674.08	
3s	A1_offbase_r2	MB2_256B_12M	2366825.33	
3s	A2_allon_r2	MB1_16KB	516009.29	
3s	A2_allon_r2	MB2_256B_12M	2472487.78	
3s	cmd_off_r2	MB1_16KB	511299.61	
3s	cmd_off_r2	MB2_256B_12M	2508069.97	
3s	keyobj_off_r2	MB1_16KB	513238.00	
3s	keyobj_off_r2	MB2_256B_12M	2522775.70	
3s	fcargvcmd_off_r2	MB1_16KB	497098.63	
3s	fcargvcmd_off_r2	MB2_256B_12M	2482425.66	
3s	keychase_only_r2	MB1_16KB	512924.88	
3s	keychase_only_r2	MB2_256B_12M	2456931.75	
3s	value_only_r2	MB1_16KB	500480.65	
3s	value_only_r2	MB2_256B_12M	2432405.99	
