pass	system	payload	pipe	ratio	ops	p50ms	p99ms	crash
1	v11-epoll	64	16	1:9	5552819	0.54300	1.63100	0
1	v11-epoll	128	16	1:9	5146353	0.59900	1.36700	0
1	v11-epoll	256	16	1:9	4957776	0.62300	1.63900	0
1	v11-epoll	512	16	1:9	3051924	1.02300	1.63900	0
1	v11-epoll	1024	16	1:9	1957123	1.76700	1.91100	0
1	v11-epoll	64	1	1:9	730076	0.24700	0.46300	0
1	v11-epoll	256	1	1:9	759795	0.23900	0.39900	0
1	v11-epoll	1024	1	1:9	681394	0.27900	0.45500	0
1	v11-epoll	64	16	1:1	4035984	0.79900	1.09500	0
1	v11-epoll	512	16	1:1	3415214	0.90300	1.67100	0
1	v12-J	64	16	1:9	5317604	0.57500	1.15900	0
1	v12-J	128	16	1:9	3908284	0.79100	1.59100	0
1	v12-J	256	16	1:9	4162987	0.75100	1.42300	0
1	v12-J	512	16	1:9	3516109	0.87900	1.43100	0
1	v12-J	1024	16	1:9	2343964	1.40700	1.63100	0
1	v12-J	64	1	1:9	669038	0.28700	0.46300	0
1	v12-J	256	1	1:9	692867	0.27900	0.44700	0
1	v12-J	1024	1	1:9	717689	0.25500	0.44700	0
1	v12-J	64	16	1:1	4489077	0.69500	1.29500	0
1	v12-J	512	16	1:1	2904820	1.08700	1.95100	0
1	ts-tuned-i4w2r1	64	16	1:9	5170597	0.51100	3.61500	0
1	ts-tuned-i4w2r1	128	16	1:9	5079470	0.51100	3.66300	0
1	ts-tuned-i4w2r1	256	16	1:9	4507039	0.59900	3.55100	0
1	ts-tuned-i4w2r1	512	16	1:9	2715793	0.95100	5.56700	0
1	ts-tuned-i4w2r1	1024	16	1:9	1890344	1.44700	6.52700	0
1	ts-tuned-i4w2r1	64	1	1:9	576340	0.28700	2.11100	0
1	ts-tuned-i4w2r1	256	1	1:9	608470	0.26300	2.15900	0
1	ts-tuned-i4w2r1	1024	1	1:9	621564	0.27100	1.56700	0
1	ts-tuned-i4w2r1	64	16	1:1	4177277	0.64700	3.79100	0
1	ts-tuned-i4w2r1	512	16	1:1	2963451	0.88700	5.27900	0
1	ts-canon-i4w4r0	64	16	1:9	3697977	0.46300	6.33500	0
1	ts-canon-i4w4r0	128	16	1:9	3191610	0.59100	6.01500	0
1	ts-canon-i4w4r0	256	16	1:9	2941169	0.66300	6.30300	0
1	ts-canon-i4w4r0	512	16	1:9	2692751	0.90300	4.86300	0
1	ts-canon-i4w4r0	1024	16	1:9	1957231	1.56700	4.92700	0
1	ts-canon-i4w4r0	64	1	1:9	510496	0.27900	2.86300	0
1	ts-canon-i4w4r0	256	1	1:9	508798	0.25500	3.27900	0
1	ts-canon-i4w4r0	1024	1	1:9	541489	0.26300	2.79900	0
1	ts-canon-i4w4r0	64	16	1:1	3139246	0.65500	6.23900	0
1	ts-canon-i4w4r0	512	16	1:1	2245214	1.24700	3.51900	0
1	redis	64	16	1:9	4549032	0.69500	1.00700	0
1	redis	128	16	1:9	3823444	0.84700	1.10300	0
1	redis	256	16	1:9	4074526	0.74300	1.61500	0
1	redis	512	16	1:9	3152479	0.90300	1.75100	0
1	redis	1024	16	1:9	2191214	1.46300	2.23900	0
1	redis	64	1	1:9	645894	0.28700	0.57500	0
1	redis	256	1	1:9	552675	0.32700	0.65500	0
1	redis	1024	1	1:9	599882	0.29500	0.62300	0
1	redis	64	16	1:1	4097498	0.78300	1.05500	0
1	redis	512	16	1:1	3146342	0.94300	1.50300	0
1	dragonfly	64	16	1:9	4286063	0.63900	1.66300	0
1	dragonfly	128	16	1:9	4074006	0.65500	1.70300	0
1	dragonfly	256	16	1:9	1987413	1.48700	2.67100	0
1	dragonfly	512	16	1:9	1587589	1.67900	3.45500	0
1	dragonfly	1024	16	1:9	1508279	1.89500	3.61500	0
1	dragonfly	64	1	1:9	643850	0.27900	0.57500	0
1	dragonfly	256	1	1:9	582274	0.31100	0.65500	0
