pass	system	payload	pipe	ratio	ops	p50ms	p99ms	crash
1	ts_i4w2_rob0	64	16	1:9	5335179	0.47100	3.71100	0
1	ts_i4w2_rob0	256	16	1:9	4208831	0.59900	4.12700	0
1	ts_i4w2_rob0	1024	16	1:9	1716375	1.59900	6.30300	0
1	ts_i4w2_rob1	64	16	1:9	5473005	0.46300	3.67900	0
1	ts_i4w2_rob1	256	16	1:9	4576406	0.59100	3.40700	0
1	ts_i4w2_rob1	1024	16	1:9	1651828	1.73500	6.78300	0
1	ts_i4w2_rob2	64	16	1:9	5141702	0.46300	3.90300	0
1	ts_i4w2_rob2	256	16	1:9	4332308	0.58300	4.07900	0
1	ts_i4w2_rob2	1024	16	1:9	1648674	1.67100	6.39900	0
1	ts_i6w2_rob0	64	16	1:9	5107174	0.34300	4.28700	0
1	ts_i6w2_rob0	256	16	1:9	4037720	0.46300	4.44700	0
1	ts_i6w2_rob0	1024	16	1:9	1838055	1.31100	5.75900	0
1	ts_i6w2_rob1	64	16	1:9	5184993	0.50300	4.28700	0
1	ts_i6w2_rob1	256	16	1:9	4024141	0.66300	4.51100	0
1	ts_i6w2_rob1	1024	16	1:9	1627955	1.78300	6.62300	0
1	ts_i4w4_rob1	64	16	1:9	4518901	0.55900	4.28700	0
1	ts_i4w4_rob1	256	16	1:9	3639514	0.74300	4.70300	0
1	ts_i4w4_rob1	1024	16	1:9	1801823	1.43100	7.26300	0
2	ts_i4w2_rob1	64	16	1:9	5561900	0.43900	3.74300	0
2	ts_i4w2_rob1	256	16	1:9	4427822	0.58300	3.77500	0
2	ts_i4w2_rob1	1024	16	1:9	1655010	1.70300	6.87900	0
2	ts_i4w2_rob2	64	16	1:9	4975193	0.48700	3.95100	0
2	ts_i4w2_rob2	256	16	1:9	4800004	0.52700	3.87100	0
2	ts_i4w2_rob2	1024	16	1:9	1735012	1.52700	6.43100	0
2	ts_i6w2_rob0	64	16	1:9	4433572	0.39100	4.60700	0
2	ts_i6w2_rob0	256	16	1:9	4692941	0.39100	4.25500	0
2	ts_i6w2_rob0	1024	16	1:9	1868545	1.31900	5.75900	0
2	ts_i6w2_rob1	64	16	1:9	4414454	0.61500	4.31900	0
2	ts_i6w2_rob1	256	16	1:9	4129755	0.67900	4.28700	0
2	ts_i6w2_rob1	1024	16	1:9	1864971	1.54300	6.20700	0
2	ts_i4w4_rob1	64	16	1:9	4132395	0.55100	4.57500	0
2	ts_i4w4_rob1	256	16	1:9	3608941	0.67900	4.86300	0
2	ts_i4w4_rob1	1024	16	1:9	1868338	1.36700	7.16700	0
2	ts_i4w2_rob0	64	16	1:9	5443715	0.43900	4.01500	0
2	ts_i4w2_rob0	256	16	1:9	4339100	0.55900	4.31900	0
2	ts_i4w2_rob0	1024	16	1:9	1673180	1.67900	6.27100	0
3	ts_i4w2_rob2	64	16	1:9	5003181	0.47900	3.99900	0
3	ts_i4w2_rob2	256	16	1:9	4778935	0.53500	3.88700	0
3	ts_i4w2_rob2	1024	16	1:9	1731824	1.56700	6.27100	0
3	ts_i6w2_rob0	64	16	1:9	4405612	0.43900	4.38300	0
3	ts_i6w2_rob0	256	16	1:9	4512471	0.40700	4.35100	0
3	ts_i6w2_rob0	1024	16	1:9	1935837	1.25500	5.69500	0
3	ts_i6w2_rob1	64	16	1:9	4424377	0.61500	4.38300	0
3	ts_i6w2_rob1	256	16	1:9	3986632	0.68700	4.41500	0
3	ts_i6w2_rob1	1024	16	1:9	1860644	1.56700	5.98300	0
3	ts_i4w4_rob1	64	16	1:9	3992422	0.59900	4.76700	0
3	ts_i4w4_rob1	256	16	1:9	3858103	0.67100	4.73500	0
3	ts_i4w4_rob1	1024	16	1:9	1917076	1.34300	6.30300	0
3	ts_i4w2_rob0	64	16	1:9	4683179	0.51100	3.99900	0
3	ts_i4w2_rob0	256	16	1:9	4210437	0.60700	3.90300	0
3	ts_i4w2_rob0	1024	16	1:9	1923322	1.40700	5.95100	0
3	ts_i4w2_rob1	64	16	1:9	4773644	0.55900	3.61500	0
3	ts_i4w2_rob1	256	16	1:9	4654607	0.56700	3.56700	0
3	ts_i4w2_rob1	1024	16	1:9	1960446	1.40700	6.39900	0
