rep	system	cell	ops
1	2s_epoll	64B_1:9	5427795
1	2s_epoll	256B_1:1	4876252
1	2s_epoll	1024B_1:1	2719471
1	2s_epoll	16KB_1:9	351263
1	2s_epoll	16KB_1:1	345253
1	3s_epoll	64B_1:9	3871765
1	3s_epoll	256B_1:1	3202630
1	3s_epoll	1024B_1:1	2239936
1	3s_epoll	16KB_1:9	339164
1	3s_epoll	16KB_1:1	369191
1	3s_uring	64B_1:9	4200613
1	3s_uring	256B_1:1	3242069
1	3s_uring	1024B_1:1	2089142
1	3s_uring	16KB_1:9	332577
1	3s_uring	16KB_1:1	337892
1	3s_pool	64B_1:9	4026098
1	3s_pool	256B_1:1	3383258
1	3s_pool	1024B_1:1	2106214
1	3s_pool	16KB_1:9	324314
1	3s_pool	16KB_1:1	370393
2	2s_epoll	64B_1:9	4815543
2	2s_epoll	256B_1:1	4052751
2	2s_epoll	1024B_1:1	2814864
2	2s_epoll	16KB_1:9	308468
2	2s_epoll	16KB_1:1	374536
2	3s_epoll	64B_1:9	4295280
2	3s_epoll	256B_1:1	3322379
2	3s_epoll	1024B_1:1	2165504
2	3s_epoll	16KB_1:9	318730
2	3s_epoll	16KB_1:1	329212
2	3s_uring	64B_1:9	4202856
2	3s_uring	256B_1:1	3341204
2	3s_uring	1024B_1:1	2093384
2	3s_uring	16KB_1:9	308773
2	3s_uring	16KB_1:1	345820
2	3s_pool	64B_1:9	4174570
2	3s_pool	256B_1:1	3488631
2	3s_pool	1024B_1:1	2066909
2	3s_pool	16KB_1:9	298135
2	3s_pool	16KB_1:1	347336
3	2s_epoll	64B_1:9	5446908
3	2s_epoll	256B_1:1	4525694
3	2s_epoll	1024B_1:1	2561249
3	2s_epoll	16KB_1:9	299330
3	2s_epoll	16KB_1:1	339787
3	3s_epoll	64B_1:9	4153359
3	3s_epoll	256B_1:1	3294084
3	3s_epoll	1024B_1:1	2239941
3	3s_epoll	16KB_1:9	314199
3	3s_epoll	16KB_1:1	336491
3	3s_uring	64B_1:9	4172598
3	3s_uring	256B_1:1	3440951
3	3s_uring	1024B_1:1	1957774
3	3s_uring	16KB_1:9	299660
3	3s_uring	16KB_1:1	331586
3	3s_pool	64B_1:9	4441535
3	3s_pool	256B_1:1	4077142
3	3s_pool	1024B_1:1	2111735
3	3s_pool	16KB_1:9	302529
3	3s_pool	16KB_1:1	323258
