round	phase	system	workload	payload	pipeline	ops	p50	p99	note
1	memtier	thredis2s	GET	32	1	708570.94	0.28224	0.17500	
1	memtier	thredis2s	SET	32	1	701453.24	0.28517	0.19900	
1	memtier	thredis2s	MIX91	32	1	708028.98	0.28247	0.19100	
1	memtier	thredis2s	MIX11	32	1	703211.30	0.28441	0.18300	
1	memtier	thredis2s	GET	32	16	5925874.22	0.53707	0.42300	
1	memtier	thredis2s	SET	32	16	4961358.41	0.64258	0.51900	
1	memtier	thredis2s	MIX91	32	16	5748827.74	0.55364	0.43100	
1	memtier	thredis2s	MIX11	32	16	5269428.89	0.60439	0.47900	
1	memtier	thredis2s	GET	32	32	7430298.43	0.85505	0.70300	
1	memtier	thredis2s	SET	32	32	5368562.28	1.18804	1.15900	
1	memtier	thredis2s	MIX91	32	32	7038273.45	0.90304	0.78300	
1	memtier	thredis2s	MIX11	32	32	6177511.06	1.03059	0.99100	
1	memtier	thredis2s	GET	256	1	707313.68	0.28273	0.18300	
1	memtier	thredis2s	SET	256	1	696750.48	0.28704	0.18300	
1	memtier	thredis2s	MIX91	256	1	705670.21	0.28339	0.19100	
1	memtier	thredis2s	MIX11	256	1	694766.39	0.28787	0.19100	
1	memtier	thredis2s	GET	256	16	1665253.99	1.91988	2.73500	
1	memtier	thredis2s	SET	256	16	4424705.57	0.72068	0.67900	
1	memtier	thredis2s	MIX91	256	16	5200122.22	0.61207	0.56700	
1	memtier	thredis2s	MIX11	256	16	4739284.32	0.67182	0.54300	
1	memtier	thredis2s	GET	256	32	2800172.50	2.28342	3.05500	
1	memtier	thredis2s	SET	256	32	4825324.77	1.32197	1.27900	
1	memtier	thredis2s	MIX91	256	32	2763207.76	2.31375	3.07100	
1	memtier	thredis2s	MIX11	256	32	2647286.64	2.41367	3.11900	
1	memtier	thredis2s	GET	1024	1	694245.16	0.28801	0.19100	
1	memtier	thredis2s	SET	1024	1	679345.97	0.29441	0.19100	
1	memtier	thredis2s	MIX91	1024	1	693673.44	0.28824	0.19100	
1	memtier	thredis2s	MIX11	1024	1	682605.09	0.29295	0.19100	
1	memtier	thredis2s	GET	1024	16	1486558.36	2.15229	2.92700	
1	memtier	thredis2s	SET	1024	16	1463627.38	2.18474	3.00700	
1	memtier	thredis2s	MIX91	1024	16	1443458.16	2.21647	2.81500	
1	memtier	thredis2s	MIX11	1024	16	1445618.57	2.21280	2.95900	
1	memtier	thredis2s	GET	1024	32	2361439.38	2.70964	3.39100	
1	memtier	thredis2s	SET	1024	32	2744580.13	2.32917	1.74300	
1	memtier	thredis2s	MIX91	1024	32	2311816.36	2.76773	3.29500	
1	memtier	thredis2s	MIX11	1024	32	2242220.73	2.85304	3.42300	
1	memtier	thredis2s_b	GET	32	1	572911.93	0.34917	0.33500	
1	memtier	thredis2s_b	SET	32	1	570782.62	0.35052	0.33500	
1	memtier	thredis2s_b	MIX91	32	1	573062.63	0.34909	0.33500	
1	memtier	thredis2s_b	MIX11	32	1	567897.87	0.35227	0.34300	
1	memtier	thredis2s_b	GET	32	16	5100081.04	0.62482	0.63100	
1	memtier	thredis2s_b	SET	32	16	4153073.37	0.76847	0.69500	
1	memtier	thredis2s_b	MIX91	32	16	4868047.80	0.65471	0.60700	
1	memtier	thredis2s_b	MIX11	32	16	4505653.71	0.70773	0.67100	
1	memtier	thredis2s_b	GET	32	32	6314457.51	1.00818	0.90300	
1	memtier	thredis2s_b	SET	32	32	5134063.06	1.24257	1.23100	
1	memtier	thredis2s_b	MIX91	32	32	6047264.23	1.05289	0.92700	
1	memtier	thredis2s_b	MIX11	32	32	5424258.28	1.17489	1.08700	
1	memtier	thredis2s_b	GET	256	1	566909.24	0.35288	0.35900	
1	memtier	thredis2s_b	SET	256	1	561611.16	0.35624	0.34300	
1	memtier	thredis2s_b	MIX91	256	1	565159.22	0.35397	0.35100	
1	memtier	thredis2s_b	MIX11	256	1	559513.59	0.35753	0.35100	
1	memtier	thredis2s_b	GET	256	16	1523014.46	2.09933	1.33500	
1	memtier	thredis2s_b	SET	256	16	3595521.29	0.88772	0.80700	
1	memtier	thredis2s_b	MIX91	256	16	4343953.32	0.73371	0.70300	
1	memtier	thredis2s_b	MIX11	256	16	3919101.78	0.81374	0.78300	
1	memtier	thredis2s_b	GET	256	32	2623971.91	2.43691	1.58300	
1	memtier	thredis2s_b	SET	256	32	4474039.40	1.42577	1.29500	
