sys	cell	rep	ops
v13-2s	d512_19	1	2428470.36
v13-2s	d512_set	1	3744240.13
v13-2s	d512_p64	1	4109567.85
v13-2s	ttl_mix	1	2470519.92
v13-2s	d2k_19	1	1696677.60
v13-2s	g16k	1	513244.45
v13-2s	s16k	1	398860.27
v13-3s	d512_19	1	2365403.54
v13-3s	d512_set	1	3057321.26
v13-3s	d512_p64	1	3685437.50
v13-3s	ttl_mix	1	2316633.22
v13-3s	d2k_19	1	1741186.88
v13-3s	g16k	1	486601.65
v13-3s	s16k	1	387919.20
redis	d512_19	1	3244595.49
redis	d512_set	1	3444436.79
redis	d512_p64	1	3676652.96
redis	ttl_mix	1	2821201.48
redis	d2k_19	1	2437065.54
redis	g16k	1	480150.81
redis	s16k	1	468230.09
dragonfly	d512_19	1	884975.49
dragonfly	d512_set	1	3163969.06
dragonfly	d512_p64	1	869430.29
dragonfly	ttl_mix	1	941744.85
dragonfly	d2k_19	1	759243.00
dragonfly	g16k	1	360990.83
dragonfly	s16k	1	359802.26
v13-2s	d512_19	2	2433556.00
v13-2s	d512_set	2	3710086.23
v13-2s	d512_p64	2	3933613.31
v13-2s	ttl_mix	2	2391421.96
v13-2s	d2k_19	2	1713578.60
v13-2s	g16k	2	525590.04
v13-2s	s16k	2	404615.37
v13-3s	d512_19	2	2317726.42
v13-3s	d512_set	2	3121892.38
v13-3s	d512_p64	2	3632519.41
v13-3s	ttl_mix	2	2312860.33
v13-3s	d2k_19	2	1736542.45
v13-3s	g16k	2	495874.85
v13-3s	s16k	2	391024.59
redis	d512_19	2	3227443.77
redis	d512_set	2	3420323.08
redis	d512_p64	2	3669473.00
redis	ttl_mix	2	2816574.32
redis	d2k_19	2	2428841.52
redis	g16k	2	481585.21
redis	s16k	2	434576.22
dragonfly	d512_19	2	880954.78
dragonfly	d512_set	2	3188958.50
dragonfly	d512_p64	2	871759.29
dragonfly	ttl_mix	2	939998.79
dragonfly	d2k_19	2	756264.18
dragonfly	g16k	2	359258.57
dragonfly	s16k	2	359781.06
