system	t_s	rss_mb	alive	crash
threestage	0	4	OK	0
threestage	30	4	OK	0
threestage	60	4	OK	0
threestage	90	4	OK	0
threestage	120	4	OK	0
threestage	150	4	OK	0
threestage	180	4	OK	0
threestage	210	4	OK	0
threestage	240	4	OK	0
threestage	270	4	OK	0
threestage	300	4	OK	0
threestage	330	4	OK	0
threestage	360	4	OK	0
threestage	390	4	OK	0
threestage	420	4	OK	0
threestage	450	4	OK	0
threestage	480	4	OK	0
threestage	510	4	OK	0
threestage	540	4	OK	0
threestage	570	4	OK	0
threestage	600	4	OK	0
threestage	630	4	OK	0
threestage	660	4	OK	0
threestage	690	4	OK	0
threestage	720	4	OK	0
threestage	750	4	OK	0
threestage	780	4	OK	0
threestage	810	4	OK	0
threestage	840	4	OK	0
threestage	870	4	OK	0
threestage	900	4	OK	0
threestage	930	4	OK	0
threestage	960	4	OK	0
threestage	991	4	OK	0
threestage	1021	4	OK	0
threestage	1051	4	OK	0
threestage	1081	4	OK	0
threestage	1111	4	OK	0
threestage	1141	4	OK	0
threestage	1171	4	OK	0
threestage	1201	4	OK	0
v12-J	0	4	OK	0
v12-J	30	4	OK	0
v12-J	60	4	OK	0
v12-J	90	4	OK	0
v12-J	120	4	OK	0
v12-J	150	4	OK	0
v12-J	180	4	OK	0
v12-J	210	4	OK	0
v12-J	240	4	OK	0
v12-J	270	4	OK	0
v12-J	300	4	OK	0
v12-J	330	4	OK	0
v12-J	360	4	OK	0
v12-J	390	4	OK	0
v12-J	420	4	OK	0
v12-J	450	4	OK	0
v12-J	480	4	OK	0
v12-J	510	4	OK	0
v12-J	540	4	OK	0
v12-J	570	4	OK	0
v12-J	600	4	OK	0
v12-J	630	4	OK	0
v12-J	660	4	OK	0
v12-J	690	4	OK	0
v12-J	720	4	OK	0
v12-J	751	4	OK	0
v12-J	781	4	OK	0
v12-J	811	4	OK	0
v12-J	841	4	OK	0
v12-J	871	4	OK	0
v12-J	901	4	OK	0
v12-J	931	4	OK	0
v12-J	961	4	OK	0
v12-J	991	4	OK	0
v12-J	1021	4	OK	0
v12-J	1051	4	OK	0
v12-J	1081	4	OK	0
v12-J	1111	4	OK	0
v12-J	1141	4	OK	0
v12-J	1171	4	OK	0
v12-J	1201	4	OK	0
v11-epoll	0	4	OK	0
v11-epoll	30	4	OK	0
v11-epoll	60	4	OK	0
v11-epoll	90	4	OK	0
v11-epoll	120	4	OK	0
v11-epoll	150	4	OK	0
v11-epoll	180	4	OK	0
v11-epoll	210	4	OK	0
v11-epoll	240	4	OK	0
v11-epoll	270	4	OK	0
v11-epoll	300	4	OK	0
v11-epoll	330	4	OK	0
v11-epoll	360	4	OK	0
v11-epoll	390	4	OK	0
v11-epoll	420	4	OK	0
v11-epoll	450	4	OK	0
v11-epoll	480	4	OK	0
v11-epoll	511	4	OK	0
v11-epoll	541	4	OK	0
v11-epoll	571	4	OK	0
v11-epoll	601	4	OK	0
v11-epoll	631	4	OK	0
v11-epoll	661	4	OK	0
v11-epoll	691	4	OK	0
v11-epoll	721	4	OK	0
v11-epoll	751	4	OK	0
v11-epoll	781	4	OK	0
v11-epoll	811	4	OK	0
v11-epoll	841	4	OK	0
v11-epoll	871	4	OK	0
v11-epoll	901	4	OK	0
v11-epoll	931	4	OK	0
v11-epoll	961	4	OK	0
v11-epoll	991	4	OK	0
v11-epoll	1021	4	OK	0
v11-epoll	1051	4	OK	0
v11-epoll	1081	4	OK	0
v11-epoll	1111	4	OK	0
v11-epoll	1141	4	OK	0
v11-epoll	1171	4	OK	0
v11-epoll	1201	4	OK	0
