pass	system	cell	payload	keymax	ops	p99ms
1	v11	64_cache	64	50000	5493605	1.39100
1	v11	64_dram	64	5000000	5351047	1.36700
1	v11	256_cache	256	50000	4449095	1.03900
1	v11	256_dram	256	5000000	3899533	0.86300
1	v11	1k_cache	1024	50000	1984280	1.83900
1	v11	1k_dram	1024	5000000	2359914	1.45500
1	s_uring_pf0	64_cache	64	50000	4537316	3.47100
1	s_uring_pf0	64_dram	64	5000000	4101391	3.18300
1	s_uring_pf0	256_cache	256	50000	4562666	2.95900
1	s_uring_pf0	256_dram	256	5000000	4259534	2.57500
1	s_uring_pf0	1k_cache	1024	50000	1738519	5.56700
1	s_uring_pf0	1k_dram	1024	5000000	1671133	5.59900
1	s_uring_pf1	64_cache	64	50000	4955185	3.02300
1	s_uring_pf1	64_dram	64	5000000	4656781	2.65500
1	s_uring_pf1	256_cache	256	50000	4095039	2.92700
1	s_uring_pf1	256_dram	256	5000000	3707366	3.15100
1	s_uring_pf1	1k_cache	1024	50000	1749509	5.47100
1	s_uring_pf1	1k_dram	1024	5000000	1683532	5.50300
1	s_epoll	64_cache	64	50000	5084209	2.51100
1	s_epoll	64_dram	64	5000000	4551579	3.27900
1	s_epoll	256_cache	256	50000	4083528	2.86300
1	s_epoll	256_dram	256	5000000	3972668	2.94300
1	s_epoll	1k_cache	1024	50000	1861388	5.11900
1	s_epoll	1k_dram	1024	5000000	1924466	5.08700
2	s_uring_pf0	64_cache	64	50000	4619474	2.89500
2	s_uring_pf0	64_dram	64	5000000	3997700	3.56700
2	s_uring_pf0	256_cache	256	50000	4102302	2.87900
2	s_uring_pf0	256_dram	256	5000000	4122603	3.10300
2	s_uring_pf0	1k_cache	1024	50000	1931495	5.34300
2	s_uring_pf0	1k_dram	1024	5000000	1660195	5.53500
2	s_uring_pf1	64_cache	64	50000	4572283	2.84700
2	s_uring_pf1	64_dram	64	5000000	4017080	3.32700
2	s_uring_pf1	256_cache	256	50000	4002134	3.40700
2	s_uring_pf1	256_dram	256	5000000	4036990	2.73500
2	s_uring_pf1	1k_cache	1024	50000	1738296	5.59900
2	s_uring_pf1	1k_dram	1024	5000000	1528742	5.59900
2	s_epoll	64_cache	64	50000	5014673	2.28700
2	s_epoll	64_dram	64	5000000	4417666	2.02300
2	s_epoll	256_cache	256	50000	3989474	3.00700
2	s_epoll	256_dram	256	5000000	3987154	2.92700
2	s_epoll	1k_cache	1024	50000	1774335	5.24700
2	s_epoll	1k_dram	1024	5000000	1821172	5.15100
2	v11	64_cache	64	50000	4449917	1.00700
2	v11	64_dram	64	5000000	4135670	0.88700
2	v11	256_cache	256	50000	4302291	1.22300
2	v11	256_dram	256	5000000	4227764	0.84700
2	v11	1k_cache	1024	50000	1961784	1.95900
2	v11	1k_dram	1024	5000000	2017638	1.97500
3	s_uring_pf1	64_cache	64	50000	5320142	2.33500
3	s_uring_pf1	64_dram	64	5000000	4243361	2.31900
3	s_uring_pf1	256_cache	256	50000	4034184	3.03900
3	s_uring_pf1	256_dram	256	5000000	3684240	3.21500
3	s_uring_pf1	1k_cache	1024	50000	1705626	5.53500
3	s_uring_pf1	1k_dram	1024	5000000	1681318	5.47100
3	s_epoll	64_cache	64	50000	5135650	2.02300
3	s_epoll	64_dram	64	5000000	4327371	2.51100
3	s_epoll	256_cache	256	50000	4160718	2.38300
3	s_epoll	256_dram	256	5000000	3908565	2.84700
3	s_epoll	1k_cache	1024	50000	1829765	5.05500
3	s_epoll	1k_dram	1024	5000000	1680583	4.99100
3	v11	64_cache	64	50000	4933405	1.52700
3	v11	64_dram	64	5000000	4190650	0.83100
3	v11	256_cache	256	50000	3990377	0.85500
3	v11	256_dram	256	5000000	4103023	1.10300
3	v11	1k_cache	1024	50000	2122118	1.79100
3	v11	1k_dram	1024	5000000	2097530	1.82300
3	s_uring_pf0	64_cache	64	50000	4433690	3.47100
3	s_uring_pf0	64_dram	64	5000000	3981544	3.40700
3	s_uring_pf0	256_cache	256	50000	4060369	2.76700
3	s_uring_pf0	256_dram	256	5000000	3699020	2.89500
3	s_uring_pf0	1k_cache	1024	50000	1768101	5.31100
3	s_uring_pf0	1k_dram	1024	5000000	1673978	5.72700
