phase	rep	threads	alloc	system	dbsize	val	ratio	ops	crash
A	1	6	jem	2s_epoll	cache	16	1:9	5322883	0
A	1	6	jem	2s_epoll	cache	16	1:1	4878376	0
A	1	6	jem	2s_epoll	cache	16	1:0	3810044	0
A	1	6	jem	2s_epoll	cache	64	1:9	3677601	0
A	1	6	jem	2s_epoll	cache	64	1:1	3497580	0
A	1	6	jem	2s_epoll	cache	64	1:0	3496447	0
A	1	6	jem	2s_epoll	cache	256	1:9	3522536	0
A	1	6	jem	2s_epoll	cache	256	1:1	3389935	0
A	1	6	jem	2s_epoll	cache	256	1:0	3458815	0
A	1	6	jem	2s_epoll	cache	1024	1:9	2078586	0
A	1	6	jem	2s_epoll	cache	1024	1:1	2280916	0
A	1	6	jem	2s_epoll	cache	1024	1:0	2568207	0
A	1	6	jem	2s_epoll	cache	4096	1:9	580108	0
A	1	6	jem	2s_epoll	cache	4096	1:1	933147	0
A	1	6	jem	2s_epoll	cache	4096	1:0	1257886	0
A	1	6	jem	2s_epoll	cache	16384	1:9	307166	0
A	1	6	jem	2s_epoll	cache	16384	1:1	349310	0
A	1	6	jem	2s_epoll	cache	16384	1:0	397242	0
A	1	6	jem	2s_epoll	dram	16	1:9	4057308	0
A	1	6	jem	2s_epoll	dram	16	1:1	3865080	0
A	1	6	jem	2s_epoll	dram	16	1:0	3910972	0
A	1	6	jem	2s_epoll	dram	64	1:9	3803143	0
A	1	6	jem	2s_epoll	dram	64	1:1	3545342	0
A	1	6	jem	2s_epoll	dram	64	1:0	3446596	0
A	1	6	jem	2s_epoll	dram	256	1:9	3864308	0
A	1	6	jem	2s_epoll	dram	256	1:1	3336942	0
A	1	6	jem	2s_epoll	dram	256	1:0	3302133	0
A	1	6	jem	2s_epoll	dram	1024	1:9	2147270	0
A	1	6	jem	2s_epoll	dram	1024	1:1	2264089	0
A	1	6	jem	2s_epoll	dram	1024	1:0	2316297	0
A	1	6	jem	2s_epoll	dram	4096	1:9	605744	0
A	1	6	jem	2s_epoll	dram	4096	1:1	923130	0
A	1	6	jem	2s_epoll	dram	4096	1:0	1262103	0
A	1	6	jem	2s_epoll	dram	16384	1:9	311693	0
A	1	6	jem	2s_epoll	dram	16384	1:1	350588	0
A	1	6	jem	2s_epoll	dram	16384	1:0	395677	0
A	1	6	jem	2s_uring	cache	16	1:9	4650233	0
A	1	6	jem	2s_uring	cache	16	1:1	3860693	0
A	1	6	jem	2s_uring	cache	16	1:0	3941265	0
A	1	6	jem	2s_uring	cache	64	1:9	3983247	0
A	1	6	jem	2s_uring	cache	64	1:1	3586013	0
A	1	6	jem	2s_uring	cache	64	1:0	3635180	0
A	1	6	jem	2s_uring	cache	256	1:9	3744393	0
A	1	6	jem	2s_uring	cache	256	1:1	3402081	0
A	1	6	jem	2s_uring	cache	256	1:0	3417417	0
A	1	6	jem	2s_uring	cache	1024	1:9	2170748	0
A	1	6	jem	2s_uring	cache	1024	1:1	2379989	0
A	1	6	jem	2s_uring	cache	1024	1:0	2512701	0
A	1	6	jem	2s_uring	cache	4096	1:9	581841	0
A	1	6	jem	2s_uring	cache	4096	1:1	889359	0
A	1	6	jem	2s_uring	cache	4096	1:0	1296518	0
A	1	6	jem	2s_uring	cache	16384	1:9	308124	0
A	1	6	jem	2s_uring	cache	16384	1:1	351536	0
A	1	6	jem	2s_uring	cache	16384	1:0	375645	0
A	1	6	jem	2s_uring	dram	16	1:9	4039515	0
A	1	6	jem	2s_uring	dram	16	1:1	3771700	0
A	1	6	jem	2s_uring	dram	16	1:0	3784570	0
A	1	6	jem	2s_uring	dram	64	1:9	3821929	0
A	1	6	jem	2s_uring	dram	64	1:1	3450748	0
A	1	6	jem	2s_uring	dram	64	1:0	3391673	0
A	1	6	jem	2s_uring	dram	256	1:9	3631008	0
A	1	6	jem	2s_uring	dram	256	1:1	3256781	0
A	1	6	jem	2s_uring	dram	256	1:0	3128660	0
A	1	6	jem	2s_uring	dram	1024	1:9	1854936	0
A	1	6	jem	2s_uring	dram	1024	1:1	2106227	0
A	1	6	jem	2s_uring	dram	1024	1:0	2595261	0
A	1	6	jem	2s_uring	dram	4096	1:9	600501	0
A	1	6	jem	2s_uring	dram	4096	1:1	853819	0
A	1	6	jem	2s_uring	dram	4096	1:0	1240009	0
A	1	6	jem	2s_uring	dram	16384	1:9	313491	0
A	1	6	jem	2s_uring	dram	16384	1:1	367560	0
A	1	6	jem	2s_uring	dram	16384	1:0	391985	0
A	1	6	jem	3s_epoll	cache	16	1:9	4647908	0
A	1	6	jem	3s_epoll	cache	16	1:1	3954836	0
A	1	6	jem	3s_epoll	cache	16	1:0	4126921	0
A	1	6	jem	3s_epoll	cache	64	1:9	4134624	0
