rep	system	threads	cell	ops
1	2s_io4ex4	8	64B_1:9	5440037
1	2s_io4ex4	8	256B_1:1	4903830
1	2s_io4ex4	8	1024B_1:1	3085691
1	2s_io4ex4	8	16KB_1:1	398315
1	2s_io5ex5	10	64B_1:9	5431929
1	2s_io5ex5	10	256B_1:1	3946902
1	2s_io5ex5	10	1024B_1:1	2302491
1	2s_io5ex5	10	16KB_1:1	313392
1	2s_io6ex6	12	64B_1:9	4887833
1	2s_io6ex6	12	256B_1:1	3608577
1	2s_io6ex6	12	1024B_1:1	1933827
1	2s_io6ex6	12	16KB_1:1	272484
1	3s_i4e4w2	10	64B_1:9	4372487
1	3s_i4e4w2	10	256B_1:1	3692103
1	3s_i4e4w2	10	1024B_1:1	2138202
1	3s_i4e4w2	10	16KB_1:1	327830
1	3s_i4e4w4	12	64B_1:9	3617042
1	3s_i4e4w4	12	256B_1:1	3253728
1	3s_i4e4w4	12	1024B_1:1	1851109
1	3s_i4e4w4	12	16KB_1:1	346096
2	2s_io4ex4	8	64B_1:9	5455897
2	2s_io4ex4	8	256B_1:1	3833522
2	2s_io4ex4	8	1024B_1:1	2397242
2	2s_io4ex4	8	16KB_1:1	343828
2	2s_io5ex5	10	64B_1:9	5522851
2	2s_io5ex5	10	256B_1:1	4113791
2	2s_io5ex5	10	1024B_1:1	2299842
2	2s_io5ex5	10	16KB_1:1	313925
2	2s_io6ex6	12	64B_1:9	4822182
2	2s_io6ex6	12	256B_1:1	3544680
2	2s_io6ex6	12	1024B_1:1	1958884
2	2s_io6ex6	12	16KB_1:1	261919
2	3s_i4e4w2	10	64B_1:9	4292894
2	3s_i4e4w2	10	256B_1:1	3760140
2	3s_i4e4w2	10	1024B_1:1	2157307
2	3s_i4e4w2	10	16KB_1:1	329033
2	3s_i4e4w4	12	64B_1:9	3693688
2	3s_i4e4w4	12	256B_1:1	2770566
2	3s_i4e4w4	12	1024B_1:1	2018509
2	3s_i4e4w4	12	16KB_1:1	356302
3	2s_io4ex4	8	64B_1:9	4832760
3	2s_io4ex4	8	256B_1:1	3693389
3	2s_io4ex4	8	1024B_1:1	2426442
3	2s_io4ex4	8	16KB_1:1	373727
3	2s_io5ex5	10	64B_1:9	5506389
3	2s_io5ex5	10	256B_1:1	4117889
3	2s_io5ex5	10	1024B_1:1	2317447
3	2s_io5ex5	10	16KB_1:1	301731
3	2s_io6ex6	12	64B_1:9	4681285
3	2s_io6ex6	12	256B_1:1	3464650
3	2s_io6ex6	12	1024B_1:1	1942535
3	2s_io6ex6	12	16KB_1:1	258082
3	3s_i4e4w2	10	64B_1:9	3852304
3	3s_i4e4w2	10	256B_1:1	3193633
3	3s_i4e4w2	10	1024B_1:1	1993698
3	3s_i4e4w2	10	16KB_1:1	334213
3	3s_i4e4w4	12	64B_1:9	4110333
3	3s_i4e4w4	12	256B_1:1	3392421
3	3s_i4e4w4	12	1024B_1:1	1785753
3	3s_i4e4w4	12	16KB_1:1	326796
