rep	system	cell	ops
1	2s_io5ex5	64B_1:9	5622757
1	2s_io5ex5	256B_1:1	5221411
1	2s_io5ex5	1024B_1:1	2864865
1	2s_io5ex5	16KB_1:1	345926
1	3s_i4e4w2	64B_1:9	3906109
1	3s_i4e4w2	256B_1:1	3074909
1	3s_i4e4w2	1024B_1:1	2004274
1	3s_i4e4w2	16KB_1:1	347785
1	3s_i3e4w3	64B_1:9	4476688
1	3s_i3e4w3	256B_1:1	4009946
1	3s_i3e4w3	1024B_1:1	2156144
1	3s_i3e4w3	16KB_1:1	328837
1	3s_i4e3w3	64B_1:9	4871767
1	3s_i4e3w3	256B_1:1	3808660
1	3s_i4e3w3	1024B_1:1	2264344
1	3s_i4e3w3	16KB_1:1	359105
1	3s_i3e3w4	64B_1:9	4883399
1	3s_i3e3w4	256B_1:1	3843777
1	3s_i3e3w4	1024B_1:1	2159070
1	3s_i3e3w4	16KB_1:1	341953
2	2s_io5ex5	64B_1:9	5298225
2	2s_io5ex5	256B_1:1	3981078
2	2s_io5ex5	1024B_1:1	2308967
2	2s_io5ex5	16KB_1:1	304806
2	3s_i4e4w2	64B_1:9	4457380
2	3s_i4e4w2	256B_1:1	3468000
2	3s_i4e4w2	1024B_1:1	1949714
2	3s_i4e4w2	16KB_1:1	331012
2	3s_i3e4w3	64B_1:9	4253557
2	3s_i3e4w3	256B_1:1	3638508
2	3s_i3e4w3	1024B_1:1	2098197
2	3s_i3e4w3	16KB_1:1	331727
2	3s_i4e3w3	64B_1:9	5031784
2	3s_i4e3w3	256B_1:1	4303941
2	3s_i4e3w3	1024B_1:1	2150861
2	3s_i4e3w3	16KB_1:1	315291
2	3s_i3e3w4	64B_1:9	4875716
2	3s_i3e3w4	256B_1:1	3902042
2	3s_i3e3w4	1024B_1:1	2252920
2	3s_i3e3w4	16KB_1:1	320461
3	2s_io5ex5	64B_1:9	5581814
3	2s_io5ex5	256B_1:1	4299704
3	2s_io5ex5	1024B_1:1	2290245
3	2s_io5ex5	16KB_1:1	303178
3	3s_i4e4w2	64B_1:9	4077668
3	3s_i4e4w2	256B_1:1	3150200
3	3s_i4e4w2	1024B_1:1	1994078
3	3s_i4e4w2	16KB_1:1	331794
3	3s_i3e4w3	64B_1:9	4207121
3	3s_i3e4w3	256B_1:1	3701186
3	3s_i3e4w3	1024B_1:1	2080987
3	3s_i3e4w3	16KB_1:1	334389
3	3s_i4e3w3	64B_1:9	4657576
3	3s_i4e3w3	256B_1:1	3671904
3	3s_i4e3w3	1024B_1:1	2139844
3	3s_i4e3w3	16KB_1:1	313921
3	3s_i3e3w4	64B_1:9	4595515
3	3s_i3e3w4	256B_1:1	4364138
3	3s_i3e3w4	1024B_1:1	2325334
3	3s_i3e3w4	16KB_1:1	314735
