rep	system	cell	ops
1	pool-base	64B_1:9	4838158
1	pool-base	64B_1:1	4704616
1	pool-base	256B_1:1	3972817
1	pool-base	1KB_1:1	2238972
1	pool-base	16KB_1:1	307147
1	pool-base	64B_1:9_4M	4130071
1	pool-all	64B_1:9	4654520
1	pool-all	64B_1:1	4043990
1	pool-all	256B_1:1	3809497
1	pool-all	1KB_1:1	2233264
1	pool-all	16KB_1:1	312520
1	pool-all	64B_1:9_4M	4125304
1	v12-base	64B_1:9	4450314
1	v12-base	64B_1:1	3844148
1	v12-base	256B_1:1	3689310
1	v12-base	1KB_1:1	2413391
1	v12-base	16KB_1:1	339346
1	v12-base	64B_1:9_4M	4054225
1	v12-all	64B_1:9	4562563
1	v12-all	64B_1:1	3887805
1	v12-all	256B_1:1	3737978
1	v12-all	1KB_1:1	2435915
1	v12-all	16KB_1:1	339932
1	v12-all	64B_1:9_4M	4026085
2	pool-base	64B_1:9	4730984
2	pool-base	64B_1:1	4180685
2	pool-base	256B_1:1	3943403
2	pool-base	1KB_1:1	2241720
2	pool-base	16KB_1:1	309098
2	pool-base	64B_1:9_4M	4212775
2	pool-all	64B_1:9	4689032
2	pool-all	64B_1:1	4041580
2	pool-all	256B_1:1	4016134
2	pool-all	1KB_1:1	2318705
2	pool-all	16KB_1:1	330991
2	pool-all	64B_1:9_4M	4132109
2	v12-base	64B_1:9	4586168
2	v12-base	64B_1:1	3878703
2	v12-base	256B_1:1	3714353
2	v12-base	1KB_1:1	2440119
2	v12-base	16KB_1:1	337786
2	v12-base	64B_1:9_4M	4089318
2	v12-all	64B_1:9	4561070
2	v12-all	64B_1:1	3865755
2	v12-all	256B_1:1	3696031
2	v12-all	1KB_1:1	2411948
2	v12-all	16KB_1:1	337459
2	v12-all	64B_1:9_4M	4022150
3	pool-base	64B_1:9	4669596
3	pool-base	64B_1:1	4036942
3	pool-base	256B_1:1	3962670
3	pool-base	1KB_1:1	2308257
3	pool-base	16KB_1:1	316473
3	pool-base	64B_1:9_4M	4148170
3	pool-all	64B_1:9	4852978
3	pool-all	64B_1:1	4001489
3	pool-all	256B_1:1	3756962
3	pool-all	1KB_1:1	2199466
3	pool-all	16KB_1:1	315656
3	pool-all	64B_1:9_4M	4093036
3	v12-base	64B_1:9	4546893
3	v12-base	64B_1:1	3843222
3	v12-base	256B_1:1	3254761
3	v12-base	1KB_1:1	2404577
3	v12-base	16KB_1:1	337186
3	v12-base	64B_1:9_4M	3934479
3	v12-all	64B_1:9	4147040
3	v12-all	64B_1:1	3774176
3	v12-all	256B_1:1	3590371
3	v12-all	1KB_1:1	2317841
3	v12-all	16KB_1:1	333772
3	v12-all	64B_1:9_4M	3991151
