sys	cell	rep	ops	note
v13-2s	VALIDATE	-	1	
v13-3s	VALIDATE	-	1	
v13-2s	u512_11	1	2399199.47	
v13-2s	u512_19	1	2440395.23	
v13-2s	hot512	1	2444940.21	
v13-2s	u4k_11	1	1271209.54	
v13-2s	u4k_19	1	1236134.75	
v13-2s	FB_ETC	1	2575387.24	
v13-3s	u512_11	1	2328638.21	
v13-3s	u512_19	1	2334381.70	
v13-3s	hot512	1	2290720.59	
v13-3s	u4k_11	1	1380677.00	
v13-3s	u4k_19	1	1266352.01	
v13-3s	FB_ETC	1	2305217.02	
redis	u512_11	1	3092664.99	
redis	u512_19	1	3229546.75	
redis	hot512	1	3359451.67	
redis	u4k_11	1	1876036.55	
redis	u4k_19	1	1252065.06	
redis	FB_ETC	1	3222854.05	
dragonfly	u512_11	1	1339707.43	
dragonfly	u512_19	1	884887.77	
dragonfly	hot512	1	814711.25	
dragonfly	u4k_11	1	835578.46	
dragonfly	u4k_19	1	629802.81	
dragonfly	FB_ETC	1	2704724.62	
v13-2s	u512_11	2	2376012.67	
v13-2s	u512_19	2	2385921.11	
v13-2s	hot512	2	2430639.48	
v13-2s	u4k_11	2	1254056.07	
v13-2s	u4k_19	2	1244221.77	
v13-2s	FB_ETC	2	2591388.61	
v13-3s	u512_11	2	2416813.04	
v13-3s	u512_19	2	2338990.26	
v13-3s	hot512	2	2284624.81	
v13-3s	u4k_11	2	1383857.44	
v13-3s	u4k_19	2	1228747.69	
v13-3s	FB_ETC	2	2440363.15	
redis	u512_11	2	3068480.18	
redis	u512_19	2	3226738.76	
redis	hot512	2	3354242.46	
redis	u4k_11	2	1874663.90	
redis	u4k_19	2	1260663.17	
redis	FB_ETC	2	3212706.82	
dragonfly	u512_11	2	1343887.26	
dragonfly	u512_19	2	881539.85	
dragonfly	hot512	2	816743.79	
dragonfly	u4k_11	2	834651.48	
dragonfly	u4k_19	2	630869.60	
dragonfly	FB_ETC	2	2701481.76	
