cell	ordinal	arm	ops	info_rate	cycles	instructions	ipc	instr_per_op	hits	misses
get2m_d32	1	off	183900121	18390012.100	992427403462	582580597990	0.587026	3167.919	183900021	0
get2m_d32	2	on	184777722	18477772.200	992427800601	597601082749	0.602161	3234.162	184777840	0
get2m_d32	3	on	184312401	18431240.100	992397202606	595004973298	0.599563	3228.242	184312636	0
get2m_d32	4	off	183510336	18351033.600	992396610323	584864423398	0.589345	3187.093	183510325	0
get2m_d32	5	off	183364238	18336423.800	992385314517	583019397213	0.587493	3179.570	183364164	0
get2m_d32	6	on	184943391	18494339.100	992427801823	595626496679	0.600171	3220.588	184943257	0
get2m_d32	7	on	184378021	18437802.100	992430752340	595428742261	0.599970	3229.391	184377979	0
get2m_d32	8	off	183782401	18378240.100	992415620080	583557787557	0.588018	3175.265	183782547	0
get10m_d32	1	off	182151627	18215162.700	992410685045	569880122964	0.574238	3128.603	182151737	0
get10m_d32	2	on	184229048	18422904.800	992427835900	592740367621	0.597263	3217.410	184229085	0
get10m_d32	3	on	183368748	18336874.800	992424975841	589516628252	0.594016	3214.924	183368808	0
get10m_d32	4	off	181525725	18152572.500	992421429087	571870103680	0.576237	3150.353	181525734	0
get10m_d32	5	off	181909830	18190983.000	992396732627	572194883176	0.576579	3145.486	181909810	0
get10m_d32	6	on	183442954	18344295.400	992409378484	589860632139	0.594372	3215.499	183443026	0
get10m_d32	7	on	183500091	18350009.100	992365701942	592127850424	0.596683	3226.853	183500050	0
get10m_d32	8	off	181618981	18161898.100	992417269357	572431016026	0.576805	3151.824	181618935	0
mix9get_d512	1	off	111375400	11137540.000	992477372059	477974885560	0.481598	4291.566	100237898	0
mix9get_d512	2	on	113316049	11331604.900	992522339862	504102070089	0.507900	4448.638	101984171	0
mix9get_d512	3	on	113514621	11351462.100	992487181730	503786066594	0.507600	4438.072	102162944	0
mix9get_d512	4	off	111477862	11147786.200	992326080547	478119463582	0.481817	4288.918	100330177	0
mix9get_d512	5	off	111478388	11147838.800	992455051006	473489317966	0.477089	4247.364	100330063	0
mix9get_d512	6	on	113047827	11304782.700	992466828523	493906951752	0.497656	4369.009	101743054	0
mix9get_d512	7	on	111899598	11189959.800	992389145589	496475460312	0.500283	4436.794	100709185	0
mix9get_d512	8	off	112218824	11221882.400	992504165104	478249622733	0.481862	4261.759	100996515	0
