"system","mode","io","ex","threads","valbytes","family","ratio","pipeline","driver","status","ops_per_sec","avg_lat_ms","p50","p99","ipreq","ipc","converge_time_s","stable_throughput","cell_id","reason"
"tomokv","auto","4","4","8","32","get_set","1:0","1","memtier","PARTIAL","795895.9611","0.251","NA","NA","29128.81458","0.6430592256","NA","NA","cell-000001","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:0; op_latency_json is partial; controller_status=PARTIAL; trajectory evidence is incomplete"
"tomokv","auto","4","4","8","32","get_set","0:1","1","memtier","PARTIAL","782957.4375","0.255","NA","NA","30664.96357","0.6638872194","15.413514859","783522.250043","cell-000004","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=0:1; op_latency_json is partial"
"tomokv","auto","4","4","8","32","get_set","9:1","1","memtier","PARTIAL","793980.8333","0.251","NA","NA","29317.23281","0.646044757","10.237907603","794143.146429","cell-000007","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=9:1; op_latency_json is partial"
"tomokv","auto","4","4","8","32","get_set","1:1","1","memtier","PARTIAL","787271.7614","0.254","NA","NA","30155.45503","0.6568313463","NA","NA","cell-000010","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:1; op_latency_json is partial; controller_status=PARTIAL; trajectory evidence is incomplete"
"tomokv","auto","4","4","8","32","get_set","1:0","32","memtier","PARTIAL","8220005.599","0.773","NA","NA","5829.80027","1.243137114","115.365707950","8550790.306380","cell-000013","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:0; op_latency_json is partial"
"tomokv","auto","4","4","8","32","get_set","0:1","32","memtier","PARTIAL","4585259.835","1.392","NA","NA","9050.206004","1.04456341","NA","NA","cell-000016","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=0:1; op_latency_json is partial; controller_status=PARTIAL; trajectory evidence is incomplete"
"tomokv","auto","4","4","8","32","get_set","9:1","32","memtier","PARTIAL","8032964.357","0.791","NA","NA","6078.062563","1.244254862","15.356932778","8121854.047385","cell-000019","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=9:1; op_latency_json is partial"
"tomokv","auto","4","4","8","32","get_set","1:1","32","memtier","PARTIAL","6053004.874","1.052","NA","NA","7643.600221","1.163046416","14.320728749","6125078.882852","cell-000022","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:1; op_latency_json is partial"
"redis","NA","NA","NA","1","32","get_set","1:0","1","memtier","PARTIAL","178890.4873","1.118","NA","NA","24815.69666","0.8326762933","NA","NA","cell-000002","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:0; op_latency_json is partial"
"redis","NA","NA","NA","1","32","get_set","0:1","1","memtier","PARTIAL","170829.9456","1.170","NA","NA","26623.70243","0.8538108968","NA","NA","cell-000005","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=0:1; op_latency_json is partial"
